hub_name,betweenness,closeness,degree_centrality,platform_stop_count,routes_serving_filtered_graph,max_pax_per_vehicle_hour_2024,bus_delay_min_serving_routes,streetcar_delay_min_serving_routes,subway_delay_min,total_delay_min_all_sources
Sheppard West Station,0.142257,0.04392,0.001554,12,"1,104,105,106,107,108,384,84,984",,311723,69,8603,320395
Wilson Station,0.138692,0.046309,0.002032,108,"1,101,104,118,119,120,160,165,184,29,304,307,329,335,341,35,384,396,400,41,504,508,61,7,84,929,935,941,96,97,984,996",,1384419,192134,7068,1583621
St George Station,0.122098,0.046705,0.000598,7,"1,2,26,337,37,94",,274932,195,8742,283869
Dufferin Station,0.103157,0.044699,0.000717,124,"104,105,127,14,161,164,18,2,26,29,301,304,305,306,312,329,352,353,400,402,501,504,505,506,508,512,52,59,60,929,952,960",,874367,788845,2492,1665704
Leslie Station,0.092515,0.043735,0.000717,88,"115,122,151,156,162,185,301,306,31,353,385,395,4,42,501,503,506,51,53,83,95,953,995,996",,576965,442765,1338,1021068
Bathurst Station,0.089095,0.045856,0.000717,179,"109,125,126,127,14,160,2,26,300,301,304,305,306,307,312,33,352,353,384,400,501,504,505,506,508,509,511,512,52,60,7,84,90,94,952,960,984",,1047350,870234,2069,1919653
Warden Station,0.082818,0.040911,0.001195,128,"102,113,117,12,135,16,169,17,2,20,300,316,324,33,353,354,385,395,42,53,54,68,69,8,85,9,902,904,95,953,954,968,985,995,996",,1552999,491,5572,1559062
Glencairn Station,0.082095,0.045523,0.000478,29,"1,109,14,18,61",,147249,180,1396,148825
Finch Station,0.076018,0.043237,0.001793,304,"1,101,102,104,105,106,107,108,11,116,125,129,130,131,133,134,151,160,165,166,167,17,21,24,25,307,316,320,324,325,335,336,337,339,341,35,353,36,37,384,39,396,41,42,45,46,53,57,6,60,68,7,830,84,902,924,925,935,937,939,941,945,953,96,960,968,97,98,989,99",,3307582,575,7039,3315196
Keele Station,0.075769,0.042215,0.001076,116,"101,106,107,108,120,133,158,161,164,168,189,2,26,312,340,341,352,353,384,40,400,41,5,512,52,59,60,80,84,89,941,952,960,984,989",,1482602,64924,3188,1550714
Kipling Station,0.063246,0.03482,0.001793,152,"110,111,112,123,149,15,2,300,315,337,352,37,396,40,405,44,45,46,48,49,50,507,52,80,900,927,944,945,952,96,960,996",,929584,746,6698,937028
Kennedy Station,0.063141,0.040799,0.002032,134,"102,113,116,12,129,131,133,154,16,169,2,20,201,21,334,339,34,343,353,354,38,385,386,39,395,42,43,5,53,54,57,85,86,9,903,904,905,939,95,953,954,985,986,995,996",,1918073,828,15674,1934575
Eglinton Station,0.059843,0.046759,0.001673,260,"1,100,102,103,109,11,111,112,116,12,13,14,156,16,164,17,171,18,20,201,21,24,25,27,29,307,316,32,320,324,325,33,334,335,337,34,341,35,354,363,37,386,403,405,41,45,46,47,5,51,57,61,63,67,68,7,70,71,72,73,74,79,86,89,9,90,902,905,91,924,925,929,935,937,941,945,968,97,986,989",,3807623,1577,10059,3819259
Bloor Station,0.05537,0.046102,0.000956,139,"1,110,111,112,13,149,15,161,168,189,19,203,29,300,304,305,315,320,329,337,363,365,37,40,402,47,49,50,65,66,75,76,77,929,937,94",,1195007,8803,6140,1209950
Scarborough Centre Station,0.050593,0.03929,0.002271,14,"129,130,131,132,133,134,16,169,21,38,406,9,903,904,939,996",,474153,80,0,474233
Pioneer Village Station,0.048206,0.039072,0.001195,9,"1,106,108,335,35,41,60,935,960",,775137,106,439,775682
McCowan Station,0.035325,0.038366,0.000956,130,"102,129,130,131,132,133,134,154,16,169,316,353,354,38,385,395,406,42,53,54,830,85,9,902,903,939,95,953,954,985,995",,1220909,276,8947,1230132
Mount Dennis Station,0.029581,0.041374,0.001793,15,"161,164,168,171,27,32,334,34,35,5,71,73,89,989",,808938,269,0,809207
Union Station,0.005992,0.038481,0.000598,19,"1,114,121,129,200,202,310,320,354,38,385,395,509,54,85,954",,610026,33885,4208,648119
