rank,station_name,pagerank_score,matched_nodes,degree_centrality,closeness,betweenness,platform_stop_count
1,Finch Station,0.03863705629133667,366,0.0005316321105794789,0.018866404604944504,0.0331396207120354,33
2,Eglinton Station,0.03491288349018415,271,0.001594896331738437,0.02028812172720864,0.06610524743895252,18
3,Bathurst Station,0.023197361264955016,201,0.0008506113769271664,0.013984108697454948,0.15481106114738957,4
4,Warden Station,0.019073673674315797,175,0.0005316321105794789,0.013430655058183385,0.11321332661899434,9
5,Kipling Station,0.018407374512271108,168,0.0005316321105794789,0.01175199296233473,0.0922595226353397,15
6,Dufferin Station,0.01748298992119576,151,0.0010632642211589579,0.018945536764356504,0.1466176078321105,5
7,McCowan Station,0.01681728837778527,143,0.0009569377990430621,0.01527197560184494,0.04359874263691788,3
8,Bloor Station,0.01616196317701187,152,0.0008506113769271664,0.01335527250299697,0.07780124078209279,10
9,Keele Station,0.01583557936740744,139,0.001594896331738437,0.02028812172720864,0.11983263186285943,16
10,Kennedy Station,0.015579992349310168,139,0.0010632642211589579,0.019878025373864225,0.11381626154030443,17
