stop_id,name,degree,in_degree,out_degree,pagerank,betweenness
1,Millwood Rd at McRae Dr South Side,3,1,2,9.105328771675324e-05,0.0021143662271373882
2,Bathurst St at Horsham Ave,2,1,1,0.0001139711945084793,0.008906316461080392
3,Royal York Rd at King Georges Rd,3,1,2,0.00015281515565130485,0.005347700003544591
4,Finch Ave West at Driftwood Ave,2,1,1,6.657136859804622e-05,0.004365110591237771
5,Lawrence Ave East at Wanless Cres (West),2,1,1,0.00011393582691955552,0.008366333907694475
7,Kennedy Rd at Huntingwood Dr,2,1,1,0.00010345961402003626,0.0013063589961718417
8,Shorncliffe Ave at Newbridge Rd South Side,2,1,1,8.886363310428374e-05,0.0017745930165113495
9,Warden Ave at Tower Dr,2,1,1,0.0001093932993472657,0.00020097830710336028
10,Thirtieth St at Alhena Ave,0,0,0,1.6598932385570904e-05,0.0
11,Birchmount Rd at Harvest Moon Dr,2,1,1,3.675930382005701e-05,0.0026127179923436834
12,Brown's Line at Woodbury Rd,2,1,1,0.00018394891014003137,0.00698066933775143
13,Pharmacy Ave at Huntingwood Dr,2,1,1,0.00011062853171393727,0.00020097830710336028
14,Pharmacy Ave at Rosscowan Gate South Side,2,1,1,0.00011062853171393727,0.0003014674606550404
16,Underhill Dr at Broadlands Blvd,2,1,1,5.3290559772812806e-05,0.031932089320009356
17,St Clair Ave East at Santamonica Blvd,6,4,2,0.00033515102615276995,0.023765213752054464
18,Driftwood Ave at Finch Ave West,2,1,1,9.78004947731511e-05,0.0006981071884304552
19,Rexdale Blvd at Martin Grove Rd,2,1,1,9.486557921939062e-05,0.0013357347937048064
20,Willowdale Ave at Northwood Dr,2,1,1,0.00010266782116141745,0.0008283709059974479
21,Dovercourt Rd at Geary Ave North Side,2,1,1,0.00010158907500214237,0.0012659506592939175
22,Drewry Ave at Marthon Cres (East),2,1,1,0.00011062853171393727,0.0008039132284134411
23,Post Rd at Bayview Ave East Side,2,1,1,3.347715945696602e-05,0.00609889915132365
24,Queens Quay West at Rees St West Side,3,1,2,0.00011536187927680246,0.005439331310499145
25,Albion Rd at Finch Ave West,2,1,1,9.903330287779627e-05,0.007929604423649511
26,Middlefield Rd at Passmore Ave,2,1,1,9.575898524541692e-05,0.0017896639727775416
28,Eglinton Ave East at Laird Dr East Side,3,2,1,0.00024130992757557084,0.017968733774653085
29,Lesmill Rd at Valleybrook Dr West Side,2,1,1,5.5882322871947356e-05,0.0023309230114844748
30,Huntingwood Dr at Garrybrook Dr,2,1,1,0.00011062853171393727,0.0007288565149581739
31,Davenport Rd at Osler St,2,1,1,0.00016721739481733583,0.01732604428771645
32,Yonge Blvd at Dunster Ave North Side,2,1,1,6.83742548186398e-05,0.00010048915355168014
33,185 Graydon Hall Dr,2,1,1,9.552870399822319e-05,0.006265950659293917
34,Eglinton Ave East at Beachell St,2,1,1,0.00014528581404898853,0.0
35,Keele St at Greenbrook Dr South Side,3,2,1,0.00016745755735394653,0.006932038948747174
36,College St at Elizabeth St,2,1,1,0.00011062853171393727,0.00407471994062113
37,Le Page Crt at Keele St East Side,2,1,1,5.004076265446009e-05,0.0006170778392173543
40,Jones Ave at Baird Ave,2,1,1,9.499638182768248e-05,0.0005965546575925139
42,Dufferin St at Gordon St,2,1,1,9.030797671560382e-05,0.0
44,Evans Ave at Gair Dr,2,1,1,0.00021360640168648106,0.009465652913653764
45,Longbourne Dr at Redgrave Dr,2,1,1,0.00010817466164523372,0.0006954487452148022
46,Huntingwood Rd at Ridgecrest Dr,2,1,1,8.685431867460301e-05,0.0018365589111016588
48,Elmhurst Dr at Muncey Ave,2,1,1,0.00012075149501510106,0.0
50,Islington Ave at Norseman St,2,1,1,0.00014123569107736512,0.013907031318856072
51,McNicoll Ave at Midland Ave,2,1,1,0.00011707298878290816,0.00557475542322416
52,Wilson Heights Blvd at Clifton Ave,2,1,1,8.926233227650931e-05,0.0013173472281298737
53,Progress Ave at Estate Dr (West),2,1,1,9.78299646791085e-05,0.00020097830710336028
54,Steeles Ave East at Midland Ave,4,2,2,0.00011030851487056815,0.006392698188077814
56,Bayview Ave at Hillcrest Ave,2,1,1,0.00011062853171393727,0.007024138664398129
57,Willowridge Rd at Richgrove Dr,2,1,1,0.00010885233952283147,0.000494470438111442
58,Victoria Park Ave at Furnival Rd,2,1,1,0.00010873895867337963,0.009573054019566143
60,299 Norfinch Dr,2,1,1,0.00010231508502637885,0.005638150432440098
61,Kipling Ave at Hayhurst Rd,2,1,1,0.00014704428303294282,0.00020097830710336028
62,Moore Ave at Orchard Green,2,1,1,9.172541035083249e-05,0.0027049469830467275
63,Islington Ave at Finch Ave West South Side,3,2,1,0.00011273164950208124,0.004764586264437392
64,105 Ironside Cres,2,1,1,4.8391168755441714e-05,0.00040195661420672056
65,Martin Grove Rd at Finch Ave West,2,1,1,9.327064514770997e-05,0.003024723521905572
66,Sheppard Ave West at Yatescastle Dr,2,1,1,0.00010418100244745073,0.00010048915355168014
68,King St West at Jameson Ave,2,1,1,7.796079468976131e-05,0.0023318302579787057
69,Bayview Ave at Wilket Rd,2,1,1,8.86032746400685e-05,0.005163194233456887
71,Trethewey Dr at Brookhaven Dr,2,1,1,9.303914899505843e-05,0.00020097830710336028
72,Hullmar Dr at Hisey Cres (South) North Side,2,1,1,9.220400488005372e-05,0.00025661066212959025
73,Davisville Ave at Forman Ave,2,1,1,0.00012643804681222284,0.012924497314372705
74,Warden Ave at Murray Glen Dr,2,1,1,0.00010110019629425222,0.0003014674606550404
76,Calvington Dr at Keele St West Side,2,1,1,4.0815225862528084e-05,0.0030562172125336738
77,Main St Markham North at Bullock Dr,2,1,1,0.00011062853171393727,0.005735857082092726
79,Moore Ave at Brendan Rd,2,1,1,9.311939343078669e-05,0.0003310293492131008
80,Pharmacy Ave at Princeway Dr,2,1,1,0.00011062853171393727,0.0057262866865163764
81,Oakwood Ave at Highview Cres,2,1,1,0.00015776449662877767,0.011380168532350295
83,Weston Rd at Coral Gable Dr,3,1,2,0.00011912906168224163,0.0005322140021470094
84,Bathurst St at Fort York Blvd,4,2,2,0.00014171377739822963,0.001034909157197545
85,McNicoll Ave at Warden Ave,2,1,1,0.0001261571725362405,0.006378668651637601
86,Queen St East at Ontario St,2,1,1,0.00010536388460563305,0.001247474513970732
87,South Dr at Glen Rd,2,1,1,0.00011062853171393727,6.412325344288435e-06
88,Albion Rd at Martin Grove Rd East Side,2,1,1,0.00011062853171393727,0.005546127062364139
89,Glencairn Ave at Danesbury Ave,2,1,1,9.519301843753414e-05,0.0035344751843050443
90,84 Davisville Ave - Salvation Army,2,1,1,0.00013160959534548418,0.00808874389823986
91,Sheppard Ave East at Greenbriar Rd,2,1,1,0.00010716686408336918,0.014302734651921167
92,Bellamy Rd North at Banmoor Blvd North Side,2,1,1,7.474674835835233e-05,0.0013063589961718417
93,McLevin Ave at Greenspire Rd,2,1,1,0.00012120446182312396,0.007432196064958719
94,York Mills Rd at Harrison Rd,2,1,1,0.0001386227824240103,0.00010048915355168014
95,Warden Ave at Denison St North Side,2,1,1,6.76850712888147e-05,0.0034995746490854955
96,Lawrence Ave West at Scarlett Rd,2,1,1,0.00012055055306897921,0.00048809017439387494
98,Sheppard Ave East at Conlins Rd East Side,2,1,1,0.00012086324210599649,0.006068960017014036
99,Royal York Rd at Trehorne Dr,2,1,1,8.396032405934696e-05,0.000983623989791578
100,Avenue Rd at Lonsdale Rd South Side,2,1,1,9.4179503539129e-05,0.0034676733304976606
101,601 Milner Ave,2,1,1,9.763510789767923e-05,0.0015073373032752021
103,Wynford Dr at Don Mills Rd East Side,3,2,1,0.0001965408899887307,0.0088883150027344
104,Weston Rd at Fern Ave South Side,2,1,1,0.00014407323905826305,0.01803306698264163
105,St Clair Ave East at Victoria Park Ave West Side,2,1,1,9.15520267973317e-05,0.01038144156770866
106,Runnymede Rd at Maher Ave South Side,2,1,1,0.0001487524052723535,0.0033118885580604
107,Rathburn Rd at Pheasant Lane,2,1,1,9.146658402904109e-05,0.005078739792824893
108,McNicoll Ave at Markham Rd,0,0,0,1.6598932385570904e-05,0.0
110,Bay St at Dundas St West,2,1,1,0.00010595515294911878,0.008512805220103687
111,Dundas St West at Sterling Rd,3,1,2,0.00019307585324789486,0.015136037988327942
112,Church St at Weston Rd,2,1,1,9.612971973368021e-05,0.0035695581667375587
114,Royal York Rd at Darlingbrook Cres South Side,2,1,1,0.00014093860761627946,0.0038595278604849
115,Heathrow Dr at Chesham Dr,2,1,1,6.360503913128908e-05,0.0006125053168864313
116,Horner Ave at Alderbrae Ave,2,1,1,0.00010349149397395139,0.00017003402807316037
117,St Clair Ave East at Glen Eden Cres,3,2,1,0.0001764749603064223,0.008400148872820076
119,Kingston Rd at Eastwood Ave,2,1,1,0.00019305118730470112,0.0013345536853618522
120,Markham Rd at Edward Jeffreys Ave,2,1,1,0.00011062853171393727,0.0029062101233517652
121,Leslie St at Commissioners St North Side,2,1,1,8.542892648902422e-05,0.005564919183326245
122,Brimley Rd at Larkhall Ave North Side,2,1,1,8.774908870604688e-05,0.0008039132284134411
123,Brimley Rd at Progress Ave,2,1,1,4.396400788452799e-05,0.002110272224585283
125,St Regis Cres at St Regis Cres North West Side,2,1,1,4.6362795383122525e-05,0.000805103198233781
126,Canarctic Dr at Keele St,2,1,1,7.02498256299086e-05,0.000375903870693322
127,McCowan Rd at McNicoll Ave,2,1,1,0.00013234331302313884,0.010187686091025097
128,Kennedy Rd at Village Green Sq,2,1,1,0.00011062853171393727,0.0048346448319863886
129,Prince Edward Dr South at Meadowvale Dr,2,1,1,0.0001356304472477114,0.027641429179072734
130,Elmhurst Dr at Henley Cres West Side,2,1,1,9.982441348904507e-05,0.0
131,McNicoll Ave at Brahms Ave,2,1,1,0.00011031896257685723,0.0064803097972493985
132,Foxwell St at Bruton Rd East Side,2,1,1,0.0001287174287906491,0.009052737605746965
133,Burnhamthorpe Rd at Old Burnhamthorpe Rd (East),2,1,1,0.00011233877730984119,0.006531263292216078
134,Claireport Cres (West) at Albion Rd,2,1,1,0.00011062853171393727,0.006623245427477669
135,Danforth Rd at Mack Ave,2,1,1,0.00011637580853494006,0.010861148397834289
136,1216 Lansdowne Ave,2,1,1,0.00011332736517510064,0.004522011909825607
137,Marlee Ave at Ridelle Ave,2,1,1,9.962893804641839e-05,0.0002714650300783861
138,St Clair Ave West at Runnymede Rd West Side,3,2,1,0.00010982077702050705,0.006835463041731651
139,Bay St at Harbour St South Side - Ferry Docks Terminal,2,1,1,0.00016747535179947683,0.011363253474528975
140,Royal York Rd at York View Dr,2,1,1,0.00020349166695955012,0.0029237558485750745
141,Glencairn Ave at Glenmount Ave,2,1,1,6.867450962821437e-05,0.004137410105615125
142,Opposite 3400 Keele St,2,1,1,0.00011568528878661149,0.00020097830710336028
143,Denton Ave at Madelaine Ave,3,2,1,0.00010920716713455386,0.005408336877924288
144,Davenport Rd at New St,2,1,1,8.689352422875982e-05,0.004778755879397604
145,Cosburn Ave at Donlands Ave West Side,2,1,1,0.0001226221436210021,0.005850272565234284
146,Leslie St at Bannatyne Dr North Side,2,1,1,8.03348463290845e-05,0.006157287540900896
147,Woodsworth Rd at Hopperton Dr (East),2,1,1,9.269023982283947e-05,0.005734793704806465
148,Tapscott Rd at Newgale Gate,3,2,1,8.997380738369189e-05,0.0007757337303275203
149,Kipling Ave at Goswell Rd,2,1,1,0.00015525109181198057,0.006030462792059858
150,McLevin Ave at Tapscott Rd,2,1,1,9.689694806304402e-05,0.006882727208280164
151,Arleta Ave at Medal Lane,2,1,1,8.10156289672358e-05,0.0012005529561888559
152,Elmhurst Dr at Genthorn Ave,2,1,1,9.235135650499922e-05,0.00040195661420672056
153,Donlands Ave at Memorial Park Ave,2,1,1,0.00010600053452480501,0.0020562172125336733
154,Birchmount Rd at Eglinton Ave East,2,1,1,0.00011062853171393727,0.0005180774138664399
155,Davenport Rd at Symington Ave,3,1,2,0.00013308367094379628,0.011403521669738174
156,Yonge St at Blythwood Rd,2,1,1,0.00010453401335312946,0.007134534949666808
157,McCowan Rd at St Andrews Rd,2,1,1,0.00010483518824471122,0.0012021480221182477
159,Davisville Ave at Acacia Rd,2,1,1,0.00014223342292853122,0.013225964775027747
160,Yonge St at Bloor St West - Bloor Station,2,1,1,0.00010360069903684308,0.004982826456826883
161,Overlea Blvd at William Morgan Dr West Side,4,2,2,0.00020747640023079843,0.0006029349213100808
164,St Clair Ave East at Inglewood Dr,2,1,1,0.00017550466031592717,0.003067478884365315
165,Martin Grove Rd at Walkway to 308 Silverstone Dr,2,1,1,0.00016749401926329893,0.004980881362540763
